country,region,year,pop_total,pop_growth,avg_temp_c,avg_temp_f
Spain,Europe & Central Asia,2011,46742697,0.355338396471428,13.2765,55.89769999999999
Spain,Europe & Central Asia,2012,46773055,0.0649259625617232,12.329833333333331,54.19370000000001
Spain,Europe & Central Asia,2013,46620045,-0.327669039579687,12.684875000000002,54.832775000000005
Ethiopia,Sub-Saharan Africa,2000,66224804,2.88267254878244,18.24125,64.83425
Ethiopia,Sub-Saharan Africa,2001,68159423,2.87943415632872,18.29641666666667,64.93355
Ethiopia,Sub-Saharan Africa,2002,70142091,2.86736389629885,18.46975,65.24555
Ethiopia,Sub-Saharan Africa,2003,72170584,2.85094829837995,18.320916666666665,64.97765
Ethiopia,Sub-Saharan Africa,2004,74239505,2.82638818346317,18.292749999999998,64.92695
Ethiopia,Sub-Saharan Africa,2005,76346311,2.79832926449156,18.31283333333333,64.96309999999998
Ethiopia,Sub-Saharan Africa,2006,78489206,2.76813986132425,18.427083333333332,65.16874999999999
Ethiopia,Sub-Saharan Africa,2007,80674348,2.74595439464172,18.142583333333334,64.65665
Ethiopia,Sub-Saharan Africa,2008,82916235,2.74102252312532,18.165,64.697
Ethiopia,Sub-Saharan Africa,2009,85233913,2.75685132176147,18.765333333333334,65.7776
Ethiopia,Sub-Saharan Africa,2010,87639964,2.78377094113393,18.29825,64.93685
Ethiopia,Sub-Saharan Africa,2011,90139927,2.81261034549877,18.606749999999998,65.49215
Ethiopia,Sub-Saharan Africa,2012,92726971,2.82961721422517,18.448583333333332,65.20745
Ethiopia,Sub-Saharan Africa,2013,95385785,2.82701836060576,19.539,67.1702
France,Europe & Central Asia,2000,60912500,0.684929253818552,11.739666666666666,53.13139999999999
France,Europe & Central Asia,2001,61357430,0.727786404872444,11.371250000000002,52.46824999999999
France,Europe & Central Asia,2002,61805267,0.727231515093808,11.871333333333332,53.36840000000001
France,Europe & Central Asia,2003,62244886,0.708779199037771,11.9095,53.43710000000001
France,Europe & Central Asia,2004,62704895,0.736313540733143,11.338833333333332,52.4099
France,Europe & Central Asia,2005,63179351,0.753800831613331,11.552916666666668,52.79525000000001
