iso,country,year,co2,methane,nitrous_oxide,total_ghg,avg_temp_c,avg_temp_f
CAN,Canada,2001,564.946,108.02,39.48,903.03,7.1128333333333345,44.80309999999999
CAN,Canada,2002,570.845,126.64,46.01,981.57,6.7484583333333354,44.14722499999999
CAN,Canada,2003,587.178,123.81,45.32,1001.57,5.469041666666667,41.844274999999996
CAN,Canada,2004,585.703,116.0,45.37,961.05,5.6522083333333315,42.173975
CAN,Canada,2005,576.434,113.77,46.05,971.7,6.583916666666666,43.851049999999994
CAN,Canada,2006,570.95,119.69,43.57,882.12,7.400500000000001,45.320899999999995
CAN,Canada,2007,594.221,111.91,45.64,894.32,6.158666666666668,43.0856
CAN,Canada,2008,575.587,110.03,45.25,877.95,6.096791666666668,42.974225
CAN,Canada,2009,542.55,95.76,40.22,800.9,5.7785,42.4013
CAN,Canada,2010,555.55,112.85,44.84,884.34,7.444458333333333,45.40002500000001
CAN,Canada,2011,566.741,103.44,45.98,756.74,6.910416666666666,44.43875
CAN,Canada,2012,569.737,112.82,48.38,791.74,7.879333333333335,46.18280000000001
CAN,Canada,2013,576.327,129.72,50.85,857.34,8.15988888888889,46.68779999999999
CHL,Chile,2000,58.114,14.56,6.74,59.24,5.947749999999999,42.70595
CHL,Chile,2001,52.576,14.4,6.67,62.76,6.414666666666666,43.5464
CHL,Chile,2002,54.49,14.4,6.8,63.71,6.25025,43.25045
CHL,Chile,2003,54.88399999999999,14.28,6.53,64.63,6.7739166666666675,44.19305
CHL,Chile,2004,59.047,14.31,7.02,70.0,6.316333333333334,43.36939999999999
CHL,Chile,2005,60.946999999999996,14.38,6.75,70.88,6.222416666666668,43.20035000000001
CHL,Chile,2006,63.972,13.89,6.77,71.46,6.838916666666667,44.31005000000001
CHL,Chile,2007,70.707,13.83,7.41,79.86,5.510916666666667,41.91965
CHL,Chile,2008,70.819,14.13,8.22,84.53,6.567666666666667,43.821799999999996
CHL,Chile,2009,65.92,14.19,8.17,81.79,6.703833333333333,44.0669
CHL,Chile,2010,71.33,14.16,8.4,86.46,6.132833333333333,43.0391
CHL,Chile,2011,78.084,14.3,7.85,-4.72,6.268583333333333,43.28345000000001
CHL,Chile,2012,79.704,14.41,7.66,-2.62,6.818666666666666,44.27360000000001
CHL,Chile,2013,81.692,13.25,7.01,0.28,5.938124999999999,42.688625
CHN,China,2000,3349.295,830.67,385.44,4276.12,12.679666666666664,54.823399999999964
CHN,China,2001,3426.1440000000002,825.12,387.54,4452.29,12.886666666666672,55.196
CHN,China,2002,3782.4390000000003,820.8,406.66,4762.98,13.23345312500001,55.820215624999975
CHN,China,2003,4452.31,820.66,410.2,5385.87,12.86834895833333,55.163028125000004
CHN,China,2004,5125.894,832.66,421.54,6132.26,13.168322916666662,55.70298125000003
CHN,China,2005,5771.168000000001,839.32,428.86,6856.61,12.694156249999994,54.849481250000046
CHN,China,2006,6377.7480000000005,884.55,440.42,7483.96,13.312494791666651,55.962490624999965
CHN,China,2007,6861.751,923.61,449.38,8102.46,13.610291666666654,56.498525
CHN,China,2008,7375.19,978.94,467.02,8396.81,12.990822916666664,55.38348124999998
CHN,China,2009,7758.812,1026.0,478.86,8989.4,12.96432812500001,55.335790624999966
CHN,China,2010,8500.543,1077.21,493.22,9788.64,12.552192708333335,54.59394687500001
CHN,China,2011,9388.199,1121.71,499.85,10781.3,12.606385416666674,54.69149375000004
CHN,China,2012,9633.899,1166.63,510.88,11106.42,12.384947916666663,54.29290625000002
CHN,China,2013,9796.527,1195.91,524.1,11570.95,14.225585937500005,57.60605468749999
COL,Colombia,2000,56.25899999999999,62.58,18.64,286.06,21.11820833333333,70.012775
COL,Colombia,2001,55.93899999999999,63.78,18.98,309.04,21.6195,70.9151
COL,Colombia,2002,55.43,64.33,19.23,308.21,21.826125,71.28702500000001
COL,Colombia,2003,57.093999999999994,67.96,20.23,317.93,21.787666666666667,71.2178
COL,Colombia,2004,54.568999999999996,69.93,20.84,319.58,21.738249999999997,71.12885000000001
COL,Colombia,2005,60.06,67.62,20.57,316.15,21.806375,71.251475
COL,Colombia,2006,62.005,68.51,21.1,310.83,21.69158333333333,71.04485
COL,Colombia,2007,60.178999999999995,72.32,23.09,318.81,21.603291666666664,70.88592500000001
COL,Colombia,2008,66.65,71.95,21.79,317.54,21.20241666666666,70.16435
COL,Colombia,2009,72.557,72.5,21.98,321.64,21.937124999999998,71.486825
COL,Colombia,2010,76.278,74.42,22.44,325.72,21.818541666666672,71.273375
COL,Colombia,2011,76.08,72.31,21.77,183.9,21.437124999999998,70.58682499999999
COL,Colombia,2012,79.727,70.53,21.36,182.28,21.668166666666668,71.0027
COL,Colombia,2013,89.98899999999999,70.85,19.9,192.09,21.935375,71.48367499999999
DOM,Dominican Republic,2000,19.594,6.53,2.14,17.53,26.34691666666667,79.42445000000001
DOM,Dominican Republic,2001,19.594,6.84,2.27,19.64,26.798249999999996,80.23684999999999
DOM,Dominican Republic,2002,21.462,7.03,2.54,22.05,27.051000000000002,80.69180000000001
DOM,Dominican Republic,2003,21.623,6.96,2.42,19.71,27.09175,80.76515
DOM,Dominican Republic,2004,17.843,7.46,2.62,19.02,26.707416666666674,80.07335
DOM,Dominican Republic,2005,17.904,7.39,2.7,20.3,26.90458333333333,80.42825
DOM,Dominican Republic,2006,19.087,7.35,2.77,21.81,27.080833333333327,80.7455
DOM,Dominican Republic,2007,19.95,8.06,2.96,23.16,27.120916666666673,80.81765
DOM,Dominican Republic,2008,20.269000000000002,8.26,2.92,23.41,26.56266666666667,79.8128
DOM,Dominican Republic,2009,19.814,8.55,2.99,22.87,26.88366666666666,80.3906
DOM,Dominican Republic,2010,20.574,8.7,3.11,24.28,27.012083333333337,80.62174999999999
DOM,Dominican Republic,2011,21.319000000000003,8.79,3.08,24.58,26.6635,79.9943
